                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6995,                 4.5294,                 1.3979,                 0.0014,                0.38348,                0.00402,                0.00264,                 1.4508,                 4.8553,                 1.3201,                  8e-05,                  8e-05,                  8e-05
                      1,                 1.5846,                 4.2819,                 1.3321,                0.00296,                0.80826,                0.25491,                0.18584,                 1.0395,                 4.1319,                   1.01,             0.00017881,             0.00017881,             0.00017881
                      2,                 1.3114,                 3.2004,                 1.0953,                0.00355,                 0.9705,                0.44931,                0.30958,                 1.0807,                 3.9811,                0.94574,              0.0002763,              0.0002763,              0.0002763
                      3,                 1.2371,                 2.5569,                 1.0584,                0.00531,                0.69027,                0.51885,                0.36002,                 1.0566,                 3.9566,                0.95648,             0.00037248,             0.00037248,             0.00037248
                      4,                 1.2288,                 2.2762,                 1.0396,                0.00439,                0.46593,                0.33554,                0.23189,                 1.1346,                  4.259,                 1.0669,             0.00046733,             0.00046733,             0.00046733
                      5,                 1.1981,                 2.0679,                 1.0183,                      1,                0.00874,                0.32271,                0.21677,                 1.1588,                 4.1909,                 1.0723,             0.00056086,             0.00056086,             0.00056086
                      6,                 1.1367,                 1.8253,                  1.008,                      1,                0.01702,                0.30171,                0.20313,                 1.1522,                 4.1866,                 1.0534,             0.00065307,             0.00065307,             0.00065307
                      7,                 1.1372,                 1.7846,                 1.0053,                      1,                0.02422,                0.21823,                0.15009,                 1.2337,                 4.3129,                 1.1418,             0.00074396,             0.00074396,             0.00074396
                      8,                 1.1373,                 1.6231,                  1.015,                      1,                0.01558,                0.26818,                 0.1753,                 1.2157,                 4.1975,                 1.1231,             0.00083354,             0.00083354,             0.00083354
                      9,                 1.1091,                 1.5772,                0.99645,                      1,                0.01685,                 0.2211,                0.14563,                 1.1977,                 4.2233,                 1.1212,             0.00092179,             0.00092179,             0.00092179
                     10,                 1.1109,                 1.4947,                 1.0071,                0.83408,                0.08899,                0.38589,                0.26961,                 1.1646,                 3.8516,                  1.066,              0.0010087,              0.0010087,              0.0010087
                     11,                 1.1195,                 1.4495,                  1.011,                0.67976,                0.26844,                0.38646,                0.27495,                 1.0978,                   3.35,                 1.0131,              0.0010943,              0.0010943,              0.0010943
                     12,                 1.1097,                 1.4238,                 1.0045,                0.92182,                0.27825,                0.47931,                 0.3457,                   1.19,                 3.1894,                 1.0487,              0.0011786,              0.0011786,              0.0011786
                     13,                 1.1025,                 1.3283,                 1.0118,                0.55474,                0.18584,                0.23319,                0.14835,                 1.2782,                 3.1047,                 1.1031,              0.0012616,              0.0012616,              0.0012616
                     14,                  1.095,                 1.2685,                 1.0003,                0.77744,                0.38126,                0.48638,                0.33211,                 1.2111,                 2.6297,                 1.0929,              0.0013432,              0.0013432,              0.0013432
                     15,                 1.0723,                 1.2067,                 1.0054,                0.82421,                0.39528,                 0.4897,                0.34094,                 1.2144,                 2.7531,                 1.0857,              0.0014236,              0.0014236,              0.0014236
                     16,                 1.0868,                 1.2095,                  1.008,                0.78038,                0.39528,                0.45005,                0.32598,                 1.1989,                 2.6231,                 1.0928,              0.0015026,              0.0015026,              0.0015026
                     17,                 1.0896,                 1.1791,                 1.0131,                0.74865,                0.48083,                0.56097,                0.38487,                 1.1853,                 2.3369,                 1.0842,              0.0015803,              0.0015803,              0.0015803
                     18,                 1.0854,                 1.1291,                 1.0094,                0.75905,                0.46018,                0.53976,                0.35528,                 1.2632,                 2.3909,                 1.1598,              0.0016567,              0.0016567,              0.0016567
                     19,                 1.0808,                 1.0635,                 1.0096,                0.69035,                0.48378,                0.54883,                0.32332,                 1.4094,                 2.2271,                 1.1576,              0.0017317,              0.0017317,              0.0017317
                     20,                 1.0946,                 1.0684,                 1.0244,                0.73111,                0.48925,                0.57893,                0.39665,                 1.2199,                 2.1478,                 1.0941,               0.001736,               0.001736,               0.001736
                     21,                 1.0803,                 1.0029,                  1.006,                0.67513,                0.56399,                0.60748,                 0.3852,                 1.2846,                 1.8473,                 1.1085,               0.001736,               0.001736,               0.001736
                     22,                 1.0434,                 0.9669,                0.99427,                0.58737,                0.50147,                 0.5078,                 0.3465,                 1.2497,                  1.932,                 1.1217,              0.0017228,              0.0017228,              0.0017228
                     23,                 1.0985,                0.95986,                 1.0127,                0.56943,                0.45133,                0.42637,                0.27271,                  1.314,                  1.995,                 1.1199,              0.0017096,              0.0017096,              0.0017096
                     24,                 1.0382,                0.91208,                0.99304,                0.66294,                0.43953,                0.51208,                0.35099,                  1.186,                 1.9782,                 1.0938,              0.0016964,              0.0016964,              0.0016964
                     25,                 1.0436,                0.90129,                0.99146,                0.65601,                0.46692,                0.52112,                0.34803,                 1.1996,                 2.0502,                 1.0996,              0.0016832,              0.0016832,              0.0016832
                     26,                 1.0344,                0.88879,                 0.9863,                0.62785,                0.48673,                0.53728,                0.35616,                 1.2336,                 1.9758,                 1.1045,                0.00167,                0.00167,                0.00167
                     27,                 1.0285,                0.87744,                0.99034,                0.66254,                  0.556,                0.57797,                0.39112,                 1.2278,                  1.763,                 1.0818,              0.0016568,              0.0016568,              0.0016568
                     28,                 1.0398,                0.85129,                0.98661,                0.77564,                0.61357,                0.69996,                0.47058,                 1.1828,                 1.4911,                  1.064,              0.0016436,              0.0016436,              0.0016436
                     29,                 1.0343,                0.82952,                0.99425,                0.70333,                0.54572,                0.60558,                0.42569,                 1.1026,                  1.941,                 1.0408,              0.0016304,              0.0016304,              0.0016304
                     30,                0.99587,                0.79413,                0.97822,                0.72211,                 0.4676,                0.56553,                 0.4041,                 1.1312,                 2.0037,                  1.068,              0.0016172,              0.0016172,              0.0016172
                     31,                 1.0139,                0.79188,                0.98742,                0.75222,                0.52507,                0.62369,                0.45817,                 1.1061,                 1.8158,                 1.0618,               0.001604,               0.001604,               0.001604
                     32,                0.98888,                0.78103,                0.97528,                0.72752,                0.58283,                0.67429,                0.49575,                 1.0467,                 1.4484,                  1.023,              0.0015908,              0.0015908,              0.0015908
                     33,                0.99707,                0.76138,                0.98445,                0.88234,                0.72998,                0.82687,                0.57611,                 1.1132,                 1.0643,                 1.0277,              0.0015776,              0.0015776,              0.0015776
                     34,                0.97499,                0.73943,                0.96697,                0.90276,                0.79423,                0.87823,                0.61954,                   1.07,                0.89782,                 1.0269,              0.0015644,              0.0015644,              0.0015644
                     35,                0.95522,                0.70273,                0.96636,                0.84783,                0.65782,                0.76442,                0.54051,                 1.0776,                 1.1476,                 1.0458,              0.0015512,              0.0015512,              0.0015512
                     36,                0.97206,                0.71651,                0.97468,                0.87263,                0.64307,                0.75392,                0.52452,                 1.1599,                 1.1383,                 1.0651,               0.001538,               0.001538,               0.001538
                     37,                0.96944,                0.71652,                 0.9625,                0.91682,                0.69617,                0.81277,                0.56228,                   1.11,                 1.0193,                 1.0409,              0.0015248,              0.0015248,              0.0015248
                     38,                0.95667,                0.70404,                0.96307,                0.85778,                0.55457,                0.69114,                0.48503,                 1.1614,                 1.2864,                 1.0668,              0.0015116,              0.0015116,              0.0015116
                     39,                0.95702,                0.69783,                0.97093,                0.88281,                0.71091,                0.79744,                0.57074,                 1.0641,                 1.0005,                 1.0055,              0.0014984,              0.0014984,              0.0014984
                     40,                0.95827,                0.69194,                0.96411,                0.84111,                0.64012,                0.75971,                0.55066,                 1.0487,                 1.1194,                   1.01,              0.0014852,              0.0014852,              0.0014852
                     41,                0.95306,                0.69542,                0.96894,                0.91027,                0.71823,                0.83802,                0.60615,                 1.0536,                0.92616,                 1.0235,               0.001472,               0.001472,               0.001472
                     42,                0.95671,                0.67536,                0.96636,                0.89342,                0.79129,                0.86982,                0.62762,                 1.0318,                  0.866,                 0.9964,              0.0014588,              0.0014588,              0.0014588
                     43,                0.95738,                0.67877,                0.96128,                0.87811,                0.85841,                 0.9175,                0.65796,                 1.0277,                0.75681,                0.99701,              0.0014456,              0.0014456,              0.0014456
                     44,                 0.9603,                 0.6725,                0.96632,                0.87524,                0.79351,                0.89698,                0.64971,                 1.0046,                0.82598,                0.99202,              0.0014324,              0.0014324,              0.0014324
                     45,                0.94889,                 0.6626,                0.96134,                 0.8597,                0.77581,                0.84687,                0.60056,                 1.0388,                0.95042,                 1.0012,              0.0014192,              0.0014192,              0.0014192
                     46,                0.91932,                0.64265,                0.94905,                0.86748,                0.81104,                0.87986,                 0.6415,                 1.0068,                0.81758,                 0.9904,               0.001406,               0.001406,               0.001406
                     47,                0.93144,                0.66249,                 0.9551,                0.90884,                0.80531,                0.88301,                0.63473,                0.99949,                0.82781,                0.99052,              0.0013928,              0.0013928,              0.0013928
